station_name	latitude	longitude	elevation	Instrumentation	start_date	start_time
TAP003	25.087	121.449	244	IDS	9210	96062
TAP003	25.087	121.449	244	IDS	9704	99050
TAP003	25.087	121.449	003	ETNA	1 9905	08140
TAP003	25.085	121.457	003	ETNA	1 0814	99999
TAP003	25.085	121.457	217	NANO	1 1316	99999
TAP004	25.107	121.474	245	IDS	9210	96093
TAP004	25.107	121.474	245	IDS	9704	99042
TAP004	25.107	121.474	996	ETNA	1 9904	01232
TAP004	25.107	121.474	529	A900	1 0123	08140
TAP004	25.105	121.483	529	A900	1 0814	13231
TAP004	25.105	121.483	242	NANO	1 1316	99999
TAP005	25.107	121.506	246	IDS	9210	96081
TAP005	25.107	121.506	246	IDS	9704	99042
TAP005	25.107	121.506	990	ETNA	1 9904	08140
TAP005	25.105	121.514	990	ETNA	1 0814	09230
TAP005	25.105	121.515	638	K2	1 0924	99999
TAP006	25.095	121.507	247	IDS	9210	99042
TAP006	25.095	121.507	998	ETNA	1 9904	08140
TAP006	25.093	121.516	998	ETNA	1 0814	09230
TAP006	25.093	121.516	631	K2	1 0924	16132
TAP006	25.093	121.516	318	A900	1 1013	10232
TAP006	25.093	121.515	305	SMTA	1 1023	99999
TAP007	25.075	121.508	248	IDSA	9210	99062
TAP007	25.075	121.508	001	ETNA	1 9906	00152
TAP007	25.075	121.508	123	A900	0021	03221
TAP007	25.075	121.508	138	CV57	1 0322	08140
TAP007	25.073	121.517	138	CV57	1 0814	99999
TAP007	25.073	121.516	391	A900	1 1013	10232
TAP007	25.073	121.517	279	SMTA	1 1023	99999
TAP008	25.075	121.528	249	IDS	9208	99042
TAP008	25.075	121.528	988	ETNA	1 9904	08140
TAP008	25.073	121.536	988	ETNA	1 0814	17153
TAP008	25.073	121.536	238	K2	1 1716	99999
TAP009	25.08	121.573	250	IDS	9210	99042
TAP009	25.08	121.573	006	ETNA	1 9904	08140
TAP009	25.078	121.581	006	ETNA	1 0814	99999
TAP009	25.078	121.581	301	A900	1 1014	10232
TAP009	25.078	121.581	291	SMTA	1 1023	17153
TAP009	25.078	121.581	136	SMTA	1 1716	99999
TAP010	25.067	121.47	251	IDS	9208	99051
TAP010	25.067	121.47	009	ETNA	1 9905	08140
TAP010	25.065	121.478	009	ETNA	1 0814	99999
