station_name	lattitude	longitude	elevation	Instrumentation
TAP036	24.9017	121.5533	508	A900
TAP036	24.9017	121.5535	381	SMTA
TAP037	25.0333	121.4415	010	A900
TAP037	25.0333	121.4415	340	NANO
TAP038	25.0217	121.4187	263	A900
TAP038	25.0217	121.4187	146	NANO
TAP039	24.935	121.3693	022	A900
TAP039	24.935	121.3695	136	NANO
TAP040	25.1733	121.4418	136	A900
TAP040	25.1717	121.4417	104	NANO
TAP041	25.18	121.4252	255	A900
TAP041	25.1817	121.4243	387	NANO
TAP042	25.125	121.464	008	A900
TAP042	25.125	121.464	375	NANO
TAP043	24.9883	121.418	092	A900
TAP043	24.9883	121.418	148	NANO
TAP044	24.975	121.4025	057	A900
TAP044	24.9733	121.4023	317	NANO
TAP045	25.1083	121.823	174	A900
TAP045	25.1083	121.823	150	NANO
TAP046	25.1017	121.777	125	A900
TAP046	25.1017	121.7772	224	NANO
TAP047	24.9517	121.346	229	A900
TAP047	24.9517	121.3445	109	NANO
TAP048	24.9733	121.4342	045	A900
TAP049	25.1467	121.4455	071	A900
TAP049	25.1467	121.4455	106	NANO
TAP050	25.1483	121.403	564	A900
TAP050	25.15	121.4042	219	NANO
TAP051	25.0983	121.4507	007	A900
TAP051	25.0983	121.4493	431	SMTA
TAP051	25.0983	121.4492	486	NANO
TAP052	25.08	121.3903	130	A900
TAP052	25.08	121.3897	186	NANO
TAP053	24.96	121.5163	123	A900
TAP053	24.9583	121.5247	001	ETNA
TAP053	24.9583	121.5247	379	SMTA
TAP054	24.9983	121.4337	572	ETNA
TAP054	24.9967	121.4418	560	A900
TAP054	24.9967	121.4418	210	SMTA
TAP055	25.1633	121.4488	132	A900
TAP055	25.1633	121.4488	138	NANO
TAP056	25.1633	121.5362	629	K2
TAP056	25.1633	121.5362	985	ETNA
TAP056	25.1617	121.5447	480	A900
TAP056	25.1617	121.5447	226	NANO
TAP057	25.0817	121.686	981	ETNA
TAP057	25.08	121.6943	479	A900
TAP057	25.08	121.6942	330	NANO
TAP058	25.125	121.7215	040	A900
TAP058	25.125	121.722	367	NANO
TAP059	25.155	121.6937	023	A900
TAP059	25.155	121.6935	151	NANO
TAP060	25.1533	121.7305	038	A900
TAP060	25.155	121.7303	154	NANO
TAP061	25.13	121.7602	139	A900
TAP061	25.1317	121.7608	166	NANO
TAP062	25.125	121.7863	247	A900
TAP063	25.1067	121.7297	469	IDSA
TAP063	25.105	121.7378	126	A900
TAP063	25.105	121.7382	382	NANO
TAP064	25.1483	121.7668	033	A900
TAP065	25.15	121.7648	983	ETNA
TAP065	25.1483	121.7732	331	A900
TAP065	25.1483	121.7733	250	SMTA
TAP066	25.1833	121.521	305	IDS
TAP066	25.1817	121.5292	403	A900
TAP066	25.1817	121.5293	299	SMTA
TAP067	24.9767	121.5922	399	A900
TAP067	24.9767	121.5922	291	SMTA
TAP068	24.8767	121.5337	380	A900
TAP069	25.0067	121.9972	306	A900
TAP069	25.0067	121.9972	150	SMTA
TAP069	25.0067	121.9972	436	NANO
TAP070	25.1217	121.9197	026	A900
TAP070	25.1217	121.9197	364	NANO
TAP071	25.0033	121.6085	486	IDSA
TAP071	25.0017	121.6168	284	SMTA
TAP071	25.0017	121.6168	412	A900
TAP071	25.0017	121.6167	220	NANO
TAP072	24.9917	121.6503	448	IDSA
TAP072	24.99	121.6587	279	SMTA
TAP072	24.99	121.6587	391	A900
TAP072	24.99	121.6587	223	NANO
TAP073	25.0083	121.6802	467	IDSA
TAP073	25.0067	121.6883	318	A900
TAP073	25.0067	121.6885	326	SMTA
TAP074	24.9533	121.6283	515	IDSA
TAP074	24.9517	121.6365	483	A900
TAP074	24.9517	121.6365	236	NANO
TAP074	24.9517	121.6367	413	SMTA
TAP075	25.0283	121.7292	437	IDSA
TAP075	25.0267	121.7367	412	SMTA
TAP075	25.0267	121.7365	450	NANO
TAP076	25.045	121.7698	484	IDSA
TAP076	25.0433	121.7782	173	SMTA
TAP077	25.0633	121.8433	470	IDSA
TAP077	25.0617	121.8515	576	A900
TAP077	25.0617	121.8512	235	SMTA
TAP078	25.035	121.8583	433	IDSA
TAP078	25.0333	121.8665	386	SMTA
TAP078	25.0333	121.8667	249	NANO
TAP079	25.0233	121.9068	432	IDSA
TAP079	25.0217	121.915	382	A900
TAP079	25.0217	121.9147	294	SMTA
TAP080	25.0183	121.9403	458	IDSA
TAP080	25.0167	121.9487	291	SMTA
TAP080	25.0167	121.9487	311	A900
TAP080	25.0167	121.9488	229	NANO
TAP081	25.0183	121.9805	444	IDSA
TAP081	25.015	121.9887	278	SMTA
TAP081	25.015	121.9887	580	A900
TAP082	25.055	121.9168	441	IDSA
TAP082	25.0533	121.925	343	SMTA
TAP082	25.055	121.9258	301	A900
TAP083	25.2583	121.4942	452	IDSA
TAP083	25.2567	121.5025	363	SMTA
TAP083	25.2567	121.5027	240	NANO
TAP084	25.225	121.6287	506	IDSA
TAP084	25.2233	121.6368	296	SMTA
TAP084	25.2233	121.6368	404	A900
TAP084	25.2217	121.6373	248	NANO
TAP085	24.94	121.704	467	IDSA
TAP085	24.9383	121.7122	481	A900
TAP085	24.9383	121.7122	534	SMTA
TAP085	24.9383	121.7122	429	NANO
TAP086	24.95	121.5755	210	A900
TAP086	24.95	121.5755	339	NANO
TAP087	25.1	121.4233	308	A900
TAP087	25.1	121.4233	191	SMTA
TAP088	25.0383	121.5777	500	IDSA
TAP088	25.0367	121.586	574	ETNA
TAP089	25.0267	121.5595	485	IDSA
TAP089	25.0233	121.5677	994	ETNA
TAP090	25.0567	121.5947	465	IDSA
TAP090	25.0567	121.5947	575	ETNA
TAP090	25.055	121.603	580	A900
TAP090	25.055	121.603	162	SMTA
TAP091	25.0617	121.5822	493	IDSA
TAP091	25.06	121.5905	584	ETNA
TAP092	25.065	121.556	479	IDSA
TAP092	25.0633	121.5645	579	ETNA
TAP093	25.085	121.5577	483	IDSA
TAP093	25.085	121.5577	506	A900
TAP093	25.0833	121.566	582	ETNA
TAP094	25.1417	121.4755	501	IDSA
TAP094	25.14	121.4837	986	ETNA
TAP094	25.14	121.4832	244	NANO
TAP095	25.135	121.4913	446	IDSA
TAP095	25.1333	121.4995	571	ETNA
TAP096	25.12	121.4967	418	IDSA
TAP096	25.12	121.4967	218	IDS
TAP096	25.1183	121.5048	993	ETNA
TAP096	25.1183	121.5048	301	SMTA
TAP097	25.0183	121.5297	492	IDSA
TAP097	25.0167	121.538	356	SMTA
TAP098	25.1033	121.5403	453	IDSA
TAP098	25.1033	121.5403	582	ETNA
TAP098	25.1017	121.5487	506	A900
TAP098	25.1	121.5477	197	SMTA
TAP099	25.035	121.5118	450	IDSA
TAP100	25.035	121.5122	463	IDSA
TAP100	25.035	121.5122	572	ETNA
TAP100	25.0333	121.5203	052	A900
TAP100	25.0333	121.5202	384	NANO
TAP101	25.0	121.5845	010	A800
TAP101	25.0	121.5847	048	A900
TAP101	25.0	121.5847	459	SMTA
TAP102	25.0417	121.5608	091	A800
TAP103	25.0717	121.7807	371	A900
TAP103	25.07	121.7813	235	SMTA
TAP104	25.1583	121.7313	431	A900
TAP104	25.1533	121.7397	984	ETNA
TAP105	25.04	121.9145	573	ETNA
TAP105	25.035	121.9255	187	SMTA
TAP105	25.0417	121.9228	567	A900
TAP106	25.1333	121.4727	581	ETNA
TAP107	25.1317	121.7407	500	A900
TAP107	25.1317	121.7407	197	SMTA
TAP109	25.04	121.5692	547	A900
TAP109	25.04	121.5692	365	SMTA
TAP110	25.0233	121.4738	484	A900
TAP111	25.13	121.7463	546	A900
TAP111	25.13	121.7462	432	SMTA
TAP112	25.6267	122.0797	355	A900
TAP112	25.6267	122.0798	907	SMTA
TAP112	25.6267	122.0798	439	NANO
TAP113	24.9817	121.6918	558	A900
TAP113	24.9817	121.6892	153	SMTA
TAP114	25.2017	121.6607	573	ETNA
TAP114	25.2017	121.6607	233	NANO
TAP114	25.2017	121.6607	467	SMTA
TAP115	24.9883	121.465	153	A900
TAP115	24.9883	121.465	194	NANO
TAP116	25.0283	121.5352	987	ETNA
TAP117	25.0133	121.5397	030	A800
TAP117	25.0133	121.5397	248	IDS
TAP117	25.0133	121.5395	985	ETNA
TAP117	25.0133	121.5397	194	CV57
TAP117	25.0133	121.5395	333	SMTA
TAP117	25.0133	121.5397	500	IDSA
TAP117	25.0133	121.5397	083	A900
TAP117	25.015	121.5315	628	K2
TAP117	25.0133	121.5397	60F	REFT
TAP118	25.1133	121.4763	157	A900
TAP118	25.1183	121.4732	348	NANO
TAP119	24.9833	121.5415	401	A900
TAP119	24.9833	121.5415	285	SMTA
TAP120	25.0317	121.4162	184	A900
TAP120	25.03	121.4162	385	NANO
TAP121	25.1283	121.784	247	A900
TAP121	25.1283	121.7838	351	NANO
TAP122	25.2717	121.6078	296	SMTA
TAP123	25.2867	121.5885	337	A900
TAP123	25.2867	121.5887	205	NANO
TAP123	25.2867	121.5887	466	SMTA
TAP124	24.8633	121.5535	382	SMTA
TAP124	24.8633	121.5533	574	NANO
TAP125	25.0667	121.6548	175	NANO
TAP126	24.9983	121.4528	484	A900
TAP126	25.0	121.4538	328	SMTA
TAP127	24.9717	121.8255	328	SMTA
TAP128	25.1633	121.4492	372	SMTA
TAP129	24.7767	121.5025	468	SMTA
TAP130	25.1617	121.5447	525	SMTA
TAP131	25.0567	121.6102	384	SMTA
TAP132	25.19	121.7842	232	NANO
TCU001	24.9733	121.1015	203	A900
TCU001	24.9733	121.1013	310	NANO
TCU002	25.035	121.0825	164	A900
TCU002	25.035	121.0832	323	NANO
TCU003	25.045	121.1433	047	A900
TCU003	25.045	121.1432	112	NANO
TCU004	25.0583	121.2023	069	A900
TCU004	25.06	121.203	158	NANO
TCU005	25.1033	121.2445	096	A900
TCU005	25.1033	121.2445	331	NANO
TCU006	24.91	121.149	181	A900
TCU006	24.9083	121.1493	122	NANO
TCU007	24.9983	121.3182	046	A900
TCU007	24.9983	121.318	113	NANO
TCU008	25.0067	121.2145	239	A900
TCU008	25.0067	121.2145	179	NANO
TCU009	24.9633	121.2282	155	A900
TCU009	24.9617	121.2283	333	NANO
TCU010	25.0017	121.154	985	ETNA
TCU010	25.0	121.1622	548	A900
TCU010	25.0	121.162	188	SMTA
TCU011	24.8833	121.2863	189	A900
TCU011	24.8833	121.2865	164	NANO
TCU012	24.9367	121.291	036	A900
TCU012	24.935	121.2987	147	CV57
TCU012	24.935	121.2987	670	SMTA
TCU012	24.935	121.2987	514	NANO
TCU013	24.8633	121.2133	167	A900
TCU013	24.8633	121.2133	162	NANO
TCU014	25.0433	121.3152	086	A900
TCU014	25.0433	121.3153	107	NANO
TCU015	24.755	120.9458	088	A900
TCU015	24.755	120.9458	169	NANO
TCU016	24.815	120.9573	011	A900
TCU016	24.8133	120.9657	144	CV57
TCU016	24.8133	120.9657	459	SMTA
TCU016	24.8133	120.9657	447	NANO
TCU017	24.7783	121.0183	577	A900
TCU017	24.7783	121.0182	325	SMTA
TCU018	24.8767	121.0605	009	A900
TCU018	24.8783	121.0608	145	NANO
TCU019	24.9	120.9878	256	A900
TCU019	24.9	120.9873	134	NANO
TCU020	24.8383	121.0028	226	A900
TCU020	24.8383	121.0033	203	NANO
TCU021	24.7917	121.1742	195	A900
TCU021	24.7917	121.174	170	NANO
TCU022	24.7667	120.99	193	A900
TCU022	24.7667	120.9898	183	NANO
TCU023	24.7183	121.14	200	A900
TCU023	24.72	121.14	384	SMTA
TCU023	24.72	121.14	569	NANO
TCU024	24.7333	121.0877	039	A900
TCU024	24.7333	121.0877	153	NANO
TCU024	24.735	121.0882	359	SMTA
TCU025	24.705	121.1753	066	A900
TCU025	24.7033	121.1835	146	CV57
TCU025	24.705	121.1832	421	SMTA
TCU026	24.7733	121.0833	101	A900
TCU026	24.7733	121.0837	316	NANO
TCU027	24.8283	121.074	113	A900
TCU027	24.83	121.0745	368	NANO
TCU028	24.7	121.0533	231	A900
TCU028	24.7	121.0535	171	NANO
TCU029	24.5567	120.758	439	A900
TCU029	24.5567	120.7575	164	SMTA
TCU029	24.5567	120.7575	572	NANO
TCU030	24.585	120.8852	216	A900
TCU030	24.585	120.8852	123	NANO
TCU031	24.5583	120.7097	034	A900
TCU031	24.5583	120.7097	349	NANO
TCU032	24.52	120.8228	308	A900
TCU032	24.5217	120.8227	170	SMTA
TCU032	24.5217	120.8225	528	NANO
TCU033	24.6833	120.8703	442	A900
TCU033	24.6833	120.8703	344	SMTA
TCU034	24.6367	120.8652	444	A900
TCU034	24.6367	120.8653	324	SMTA
TCU034	24.6367	120.8653	566	NANO
TCU035	24.6133	120.7963	408	A900
TCU035	24.6133	120.797	345	SMTA
TCU035	24.6133	120.797	553	NANO
TCU036	24.4467	120.7052	422	A900
TCU036	24.4467	120.7048	184	SMTA
TCU037	24.49	120.6835	143	A900
TCU037	24.4917	120.6837	130	NANO
TCU038	24.4933	120.6662	054	A900
TCU038	24.49	120.6742	369	SMTA
TCU039	24.4917	120.7833	481	IDSA
TCU039	24.49	120.7915	290	SMTA
TCU039	24.49	120.7915	371	A900
TCU039	24.4883	120.7908	239	NANO
TCU040	24.4467	120.6547	333	A900
TCU040	24.4483	120.655	319	SMTA
TCU041	24.3883	120.6962	420	A900
TCU041	24.3883	120.6957	193	SMTA
TCU041	24.3883	120.6957	481	NANO
TCU042	24.5533	120.8148	400	A900
TCU042	24.5517	120.815	172	SMTA
TCU043	24.6867	120.9603	081	A900
TCU043	24.6867	120.9598	210	NANO
TCU044	24.4033	120.757	183	A900
TCU044	24.4017	120.7652	185	CV57
TCU044	24.4017	120.7652	419	SMTA
TCU045	24.54	120.9207	358	A900
TCU045	24.5383	120.9205	426	SMTA
TCU045	24.5383	120.9205	523	NANO
TCU046	24.465	120.8612	325	A900
TCU046	24.465	120.8612	163	SMTA
TCU047	24.6167	120.9462	367	A900
TCU047	24.6167	120.9462	329	SMTA
TCU048	24.1783	120.589	067	A900
TCU048	24.1767	120.5972	169	SMTA
