201802061550 41.6224 6.0412143.78  6.316.2699  8.11820.28 0.2 0.2 F646B 14061550.P18634   
 HWA035 4   50.24   19.88  29.94  33.56 228.2 39403700.MNS NANO 20180206154953.  215.     
 ILA067 4   51.41   13.46  73.96  32.64 300.0 O1103701.SMT SMTA 20180206154900.  317.     
 MTN172 3   51.94   16.06  18.40  16.36 229.5 39903701.MNS NANO 20180206154953.  288.     
 MTN181 3   52.37   10.04  14.80  16.18 221.4 18803701.MNS NANO 20180206154953.  337.     
 HWA033 4   52.51   40.22  55.56  78.14 180.0 D3103700.SMT SMTA 20180206155000.  209.     
 MTN129 3   52.76    9.54  11.62  15.72  90.0 T109002.037  A900 20180206155033.  324.     
 MTN174 4   52.82   15.26  25.36  24.94 210.7 14703701.MNS NANO 20180206154954.  305.     
 HWA044 4   53.48   29.84  60.60  54.42 223.9 32703700.MNS NANO 20180206154957.  202.     
 HWA032 4   53.70   19.26  37.40  33.92 221.7 36503700.MNS NANO 20180206154954.  216.     
 MTN131 4   54.93   16.74  34.66  30.44  86.0 T061001.037  A900 20180206155034.    9.     
 MTN169 4   55.19   14.00  34.12  33.16  90.0 T153002.037  A900 20180206155035.  275.     
 ILA007 4   55.91   17.56  41.46  49.64  89.0 06403701.CVA CVA  20180206155055.   13.     
 ILA031 4   56.13   16.44  31.30  30.64  71.0 08503700.CVA CVA  20180206155104.   12.     
 ILA068 4   56.50   13.40  25.72  37.44 180.0 D2903701.SMT SMTA 20180206155000.   13.     
 MTN162 3   56.53   12.52  22.26  17.72 227.5 16803700.MNS NANO 20180206154957.  268.     
 TRB041 4   56.68   22.60  62.84  32.90  81.0 02003701.CVA CVA  20180206155021.   11.     
 HWA006 3   56.85   13.86  20.08  23.10  83.0 13003700.CVA CVA  20180206155007.  213.     
 MND014 3   57.44    8.34  14.08   9.74  58.0 05917400.CVA CVA  20180206155028.   15.     
 TRB038 4   57.48   21.52  31.84   0.00  87.0 03403700.CVA CVA  20180206154215.  213.     
 ILA052 3   57.75    6.92  17.50  10.76 120.0 E9803701.SMT SMTA 20180206155000.   13.     
 HWA005 4   57.78   17.04  41.20  38.64 249.0 37003700.MNS NANO 20180206154956.  212.     
 ILA071 4   58.08   12.90  31.90  27.90  79.0 09103701.CVA CVA  20180206155028.    6.     
 MTN166 4   58.25   10.90  32.96  36.82 207.4 42603701.MNS NANO 20180206154957.  272.     
 ILA043 4   58.28   39.94  36.74  46.62  77.0 08403700.CVA CVA  20180206155047.    1.     
 ILA032 3   58.72   12.04  24.70  17.72 225.5 42003701.MNS NANO 20180206154955.   10.     
 HWA002 4   59.60   17.60  37.64  38.46  73.0 12003700.CVA CVA  20180206155032.  201.     
 TCU088 4   60.00   12.02  31.84  17.06 120.0 F1403701.SMT SMTA 20180206155000.  286.     
 ILA019 4   60.02   12.38  30.84  14.44 300.0 O2903700.SMT SMTA 20180206154900.  357.     
 ILA063 3   60.40    7.88  22.64  19.62 300.0 O1503701.SMT SMTA 20180206154900.  340.     
 ILA047 4   60.52   10.88  34.80   0.00  95.0 10503701.CVA CVA  20180206155056.    6.     
 ILA006 4   60.61   12.80  26.14  27.28  95.0 06203701.CVA CVA  20180206155100.   10.     
 ILA044 4   61.32   14.66  25.34  30.14  98.0 09203701.CVA CVA  20180206155051.    3.     
 ILA025 4   61.57   15.26  41.82  47.76 300.0 O1703701.SMT SMTA 20180206154900.  345.     
 ILA046 4   62.52   10.52  26.00  14.54 300.0 M9203700.SMT SMTA 20180206154900.    1.     
 ILA022 3   63.22   10.64  16.28   9.44 219.7 18203700.MNS NANO 20180206154955.  353.     
 ILA059 4   63.38    9.14  17.84  27.93 180.0 D4103701.SMT SMTA 20180206155000.    9.     
 ILA026 5   63.58   25.10  92.46  41.68 300.0 B6903701.SMT SMTA 20180206154900.    4.     
 ILA058 4   63.64   24.54  40.52  45.40 104.0 10903700.CVA CVA  20180206155036.    3.     
 ILA018 3   64.29    5.36  14.80   9.98 300.0 L8103700.SMT SMTA 20180206154900.  356.     
