201908072128 03.562426.1812154.58 24.156.2499 11.41920.26 0.1 0.1 F530B 20072128.P19521   
 ILA039 4   40.57   29.46  71.02  68.04 240.0 N1721900.SMT SMTA 20190807212700.  333.     
 ILA025 5   40.71   20.80 105.44  98.74 240.0 O1721900.SMT SMTA 20190807212700.  303.     
 ILA016 4   41.03   31.86  54.46  58.70 223.2 30921900.MNS NANO 20190807212713.  327.     
 ILA012 5   41.58   25.98  59.60 100.84  83.0 07921900.CVA CVA  20190807212749.  336.     
 ILA034 4   41.64   25.26  64.20  66.32 300.0 M3621900.SMT SMTA 20190807212700.  347.     
 ILA036 5   41.76   29.52  72.52  80.46  86.0 08221900.CVA CVA  20190807212754.  339.     
 HWA057 4   42.34    8.28  27.84  20.64 120.0 D2021900.SMT SMTA 20190807212700.  223.     
 HWA046 4   42.80   13.16  24.10  27.76 205.3 38021901.MNS NANO 20190807212713.  222.     
 HWA047 3   43.06    8.38   0.00  14.34 240.0 N6621900.SMT SMTA 20190807212700.  217.     
 ILA015 4   43.53   20.54  55.72  38.04 240.0 O2521900.SMT SMTA 20190807212700.  331.     
 ILA063 4   43.54   18.42  44.96  43.10 240.0 O1521900.SMT SMTA 20190807212700.  297.     
 ILA074 4   44.22   18.78  21.84  33.90 120.0 G7621900.SMT SMTA 20190807212700.  295.     
 ILA020 4   44.80   22.90  65.26  67.82 206.4 43321900.MNS NANO 20190807212714.  322.     
 ILA035 5   45.08   19.92  81.72  47.98 227.0 53821900.MNS NANO 20190807212713.  342.     
 ILA069 4   45.14    9.82  31.50  13.06 240.0 G7321900.SMT SMTA 20190807212700.    4.     
 HWA069 4   45.15   15.54  29.14  27.14 240.0 N7521900.SMT SMTA 20190807212700.  230.     
 TRB040 5   45.21   19.82  82.66  59.16  86.0 01921900.CVA CVA  20190807212712.  342.     
 HWA026 3   45.61   19.14  16.82  20.54 210.8 39021900.MNS NANO 20190807212714.  219.     
 ILA002 4   46.28   16.80  70.00  66.20 217.8 35521900.MNS NANO 20190807212714.  347.     
 ILA073 4   46.90   21.34  50.02  48.56 240.0 O7221900.SMT SMTA 20190807212700.  350.     
 ILA033 4   47.99   26.36  40.10  54.98 208.6 50421900.MNS NANO 20190807212714.  350.     
 MTN135 4   48.46   25.22  37.40  57.94 214.1 41021900.MNS NANO 20190807212714.  318.     
 MTN129 3   49.29    7.48  12.04  10.86  82.0 T109001.356  A900 20190807212755.  277.     
 HWA023 2   50.08    5.96   5.02   7.02 120.0 E8821900.SMT SMTA 20190807212700.  218.     
 MTN139 4   50.09   21.82  39.92  54.68 207.6 42421900.MNS NANO 20190807212714.  298.     
 HWA072 4   50.33   14.40  26.64  20.84 240.0 O6421900.SMT SMTA 20190807212700.  240.     
 MTN125 4   51.72   31.86  76.78  77.30 207.5 14121900.MNS NANO 20190807212714.  329.     
