STAID	Vs30	Z1
ILA031	657.3902	22.5
ILA032	296.5159	219
ILA033	253.5711	27.5
ILA034	217.6665	783
ILA035	293.0976	258
ILA036	179.0237	447
ILA037	212.9296	447
ILA038	243.8529	467
ILA039	222.8089	247
ILA040	188.3537	1154
ILA041	194.179	758.7
ILA042	213.1817	610
ILA043	518.3735261097	62
ILA044	159	310
ILA046	397.59	300
ILA047	260.12995740665	396
ILA048	192.123	700
ILA049	242.409953223941	611
ILA050	626.57	36
ILA051	535.236396074933	41
ILA052	481.68	233
ILA053	534.6641	43
ILA054	783.09	9.5
ILA055	265.9574	844
ILA056	221.287	1094
ILA057	413.21	30
ILA058	248.256836301283	324
ILA059	232.2417	398
ILA060	678.12	9
ILA061	502.05	82
ILA062	759.04	11
ILA063	1002.6738	14.5
ILA064	740.01	9
ILA065	566.4118	13
ILA066	477.63	34
ILA067	806.78	20
ILA068	617.22	340
ILA069	500	39
ILA070	294.993861728797	646
ILA071	532.252360474042	64.9931
KAU001	528.824128389355	7
KAU002	215.922646667104	331.6
KAU003	887.7053	11
KAU004	221.8853	200
KAU005	253.464	164
KAU006	218.9701	332
KAU007	256.553515159253	331
KAU008	287.4527	352
KAU009	270.5384	235
KAU010	236.894566126003	350
KAU011	145.3488	305
KAU012	304.6613	46
KAU013	261.5975	61
KAU014	243.0921	102
KAU015	227.1437	380
KAU016	306.546072765523	41.8
KAU017	252.5784	209
KAU018	480.748279542394	27
KAU019	480.279424784452	78
KAU020	344.2143	45
KAU021	515.055591168891	304
KAU022	253.309547969446	75
KAU023	229.864052685577	198
KAU024	220.5963	63
KAU025	272.469901477609	68
KAU026	275.1536	99.7
KAU027	247.326243540815	98
KAU028	547.7951	13
KAU029	351.9061	18
KAU030	265.2051	109
KAU031	219.547	254
KAU032	190.7002	151
KAU033	186.5498	479
KAU034	999.1674	9.5
KAU035	281.9946	137
KAU036	234.5858	503
KAU037	277.3028	77.9
KAU038	660.3566	12
KAU039	459.4533	9
KAU040	1125.42	2
KAU041	986.5176	7.5
KAU042	815.5498	20.5
KAU043	706.86	65
KAU044	215.9283	355
KAU045	145.219395017529	353
KAU046	198.4127	129
KAU047	462.875739281136	18
KAU048	194.949382107743	236
KAU049	932.97	8
KAU050	650.81	6
KAU051	1019.5412	10.5
KAU052	781.58	12
KAU053	863.23	9
KAU054	502.7652	19.1
KAU055	224.513747810903	380.6
KAU056	248.292390083653	317.2
KAU057	534.555938729758	203
KAU058	232.379437567796	520
KAU059	229.5465	167
KAU060	246.0125	350
KAU061	214.347	379
KAU062	195.5799	273.2
KAU063	211.6029	250
KAU064	242.4634	301
KAU065	244.858	170
KAU066	228.615	173
KAU067	463.6427	115
KAU068	813.2285	16
KAU069	512.6452	61
KAU070	289.3923	78
KAU071	238.711	156
KAU072	487.1316	178
KAU073	242.996390286157	310
KAU074	224.8876	67
KAU075	196.8181	598
KAU076	280.1774	115
KAU077	528.8	23
KAU078	553.0464	42
KAU079	593.7655	21
KAU080	399.3344	56.1
KAU081	381.186817450794	83
KAU082	493.498064388414	291
KAU083	229.767182197283	91
KAU084	525.64	29.8
KAU085	255.809	80.9
KAU086	213.474110077072	257
KAU087	247.4023	320
KAU088	228.7021	372
KAU089	191.4547	177
KAU090	226.4664	267
KAU091	481.242331345778	33
KAU092	226.166970361256	159
KAU093	395.81956138985	559
KAU095	260.494963184413	46
KAU096	280.048955877713	235
KAU098	408.75	220
KAU099	463.036040242826	94.6353
KAU100	293.211223491659	248.9887
LAY	875.04	13
MTN101	527.708476083579	50
MTN103	674.77	66
MTN105	781.07	9
MTN106	826.77	37.3
MTN107	888.58	9
MTN108	588.02	24
MTN109	517.099539323811	70.4597
MTN111	814.05	12
MTN113	518.67	21
MTN115	413.43	34
MTN116	821.6	19
MTN119	391	142.14
MTN122	848.17	9
NCU	370.7136	87
NSK	1037.8827	12.5
NST	807.6457	29
NSY	591.9495	21
PNG	817.98	8
SCL	124.8959	782.4
SCZ	1019.5412	10.5
SGL	194.949382107743	236
SGS	462.875739281136	18
SML	733.78	23
SSD	932.97	8
STY	650.81	6
TAI	272.646334865343	451
TAI1	162.2506	290.2
TAP	177.424860797534	555
TAP001	177.424860797534	555
TAP002	373.9483	563
TAP003	209.3656	626
TAP004	195.5289	258
TAP005	176.9704	202
TAP006	198.3733	182
TAP007	204.3179	231
TAP008	191.5649	330
TAP009	187.5938	94
TAP010	217.5332	510
TAP011	211.0818	382
TAP012	207.3687	360
TAP013	207.929	242
TAP014	192.1414	311
TAP015	208.0805	198
TAP016	326.64	643
TAP017	221.3777	258
TAP019	225.2252	401
TAP020	224.1817	471
TAP021	165.3076	306
TAP022	181.0119	134.7
TAP023	300.71881474217	238.6097
TAP024	187.8405	435.7438
